STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES
UTTAR PRADESH,MAHOBA,2005,43,13,4,0,4,1,1,0,4,3,12,2,0
UTTAR PRADESH,MAINPURI,2005,111,121,5,0,5,41,22,19,22,8,5,17,0
UTTAR PRADESH,MATHURA,2005,90,128,18,0,18,54,44,10,23,31,63,74,0
UTTAR PRADESH,MAU,2005,34,41,5,0,5,8,6,2,10,10,47,29,0
UTTAR PRADESH,MEERUT,2005,199,208,37,0,37,139,97,42,34,66,121,303,0
UTTAR PRADESH,MIRZAPUR,2005,50,21,6,0,6,10,7,3,26,11,11,29,0
UTTAR PRADESH,MORADABAD,2005,168,169,52,0,52,98,88,10,38,95,135,209,0
UTTAR PRADESH,MUZAFFARNAGAR,2005,207,187,44,0,44,80,52,28,20,46,113,156,0
UTTAR PRADESH,PILIBHIT,2005,59,59,24,0,24,37,28,9,20,23,33,15,0
UTTAR PRADESH,PRATAPGARH,2005,60,74,15,0,15,37,33,4,23,17,4,51,0
UTTAR PRADESH,RAIBAREILLY,2005,72,81,26,0,26,41,41,0,18,47,27,167,0
UTTAR PRADESH,RAMPUR,2005,69,57,17,0,17,33,29,4,13,22,3,4,0
UTTAR PRADESH,SAHARANPUR,2005,84,117,15,0,15,31,25,6,19,35,74,119,0
UTTAR PRADESH,SANT KABIRNAGAR,2005,16,12,3,0,3,16,16,0,6,2,15,11,0
UTTAR PRADESH,SHAHJAHANPUR,2005,139,120,26,0,26,55,37,18,25,40,25,22,0
UTTAR PRADESH,SHRAWASTI,2005,21,14,6,0,6,13,13,0,6,5,7,8,0
UTTAR PRADESH,SIDHARTHNAGAR,2005,17,15,4,0,4,19,19,0,12,13,40,13,0
UTTAR PRADESH,SITAPUR,2005,142,627,51,0,51,89,86,3,70,72,31,142,0
UTTAR PRADESH,SONBHADRA,2005,24,17,8,0,8,7,5,2,10,6,20,11,0
UTTAR PRADESH,ST.RAVIDASNAGAR,2005,17,21,1,0,1,2,2,0,8,3,17,31,0
UTTAR PRADESH,SULTANPUR,2005,57,88,16,0,16,33,24,9,14,14,21,38,0
UTTAR PRADESH,UNNAO,2005,102,68,35,0,35,54,43,11,40,47,32,72,0
UTTAR PRADESH,VARANASI,2005,73,65,8,0,8,34,19,15,19,8,43,44,0
UTTAR PRADESH,TOTAL,2005,5711,5637,1217,0,1217,2955,2256,699,1564,1835,2881,4505,0
UTTARAKHAND,ALMORA,2005,22,7,6,0,6,6,6,0,6,4,2,6,0
UTTARAKHAND,BAGESHWAR,2005,10,5,7,0,7,2,0,2,1,1,1,0,0
UTTARAKHAND,CHAMOLI,2005,9,4,4,0,4,5,3,2,6,3,4,1,0
UTTARAKHAND,CHAMPAWAT,2005,7,0,1,0,1,3,2,1,3,2,0,2,0
